StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
50,0,201311,4.06,13.7,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,7,20.5
50,0,201312,3.11,7,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.7,13.2
50,0,201401,4.34,18.4,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,12.8,24
50,0,201402,1.04,6.7,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-1.1,14.4
50,0,201403,1.53,14.1,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,4,24.3
50,0,201404,1.42,27.4,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,17.9,36.9
50,0,201405,1.79,41.9,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,32.5,51.2
50,0,201406,3.81,48.1,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,40,56.3
50,0,201407,4.59,52.7,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,44.7,60.6
50,0,201408,4.85,52,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,44.2,59.7
50,0,201409,4.82,42.3,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,34.8,49.9
50,0,201410,3.2,25.8,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,20,31.5
50,0,201411,2.52,19.7,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,14.3,25.1
50,0,201412,2.84,15,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,9.8,20.1
50,0,201501,3.17,7.1,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.9,13.4
50,0,201502,1.84,12.7,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,5.6,19.8
50,0,201503,2.26,15.9,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,7,24.8
50,0,201504,2.73,28.2,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,20,36.3
50,0,201505,1.82,44.8,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,35.3,54.3
50,0,201506,2.07,52.4,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,43.1,61.7
50,0,201507,3.92,54.3,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,46.2,62.3
50,0,201508,4.88,49.3,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,42,56.6
50,0,201509,6.21,38.9,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,32.8,44.9
50,0,201510,4.16,31.6,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,26.4,36.9
50,0,201511,5.39,17.3,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,11.3,23.3
50,0,201512,1.65,8.3,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2.3,14.4
2,0,201001,3.41,42.2,1.59,-2.08,4.6,-0.15,4,456,1.87,1.42,1.03,-0.36,-0.41,-0.8,-0.81,30.5,53.9
2,0,201002,1.44,44.3,1.88,-1.41,1.36,0.95,7,375,0.62,1.62,1.32,0.44,-0.39,-0.58,-0.78,33.1,55.5
2,0,201003,1.03,49.2,1.81,-1.14,0.38,1.22,17,306,0.23,0.45,1.36,0.62,-0.35,-0.23,-0.56,35.6,62.8
2,0,201004,0.27,56.1,1.8,-0.85,0.53,1.53,76,146,-0.4,-0.09,0.23,0.78,-0.18,-0.22,-0.5,41.2,70.9
2,0,201005,0.06,63.1,2.03,2.03,1.23,2.03,196,46,-1.08,-1,-0.35,0.94,0.22,-0.48,-0.62,46.9,79.2
